BX = 000 Event : 1
0x00 0100001|0011111 0x109F
BX = 000 Event : 73
0x00 0000001|0000000 0x0080
0x01 0000001|0000001 0x0081
0x02 0000010|0000000 0x0100
0x03 0000010|0101000 0x0128
0x04 0000010|0000001 0x0101
0x05 0001100|0101000 0x0628
0x06 0010101|0000000 0x0A80
0x07 0010110|0000000 0x0B00
0x08 0010110|0000001 0x0B01
0x09 0010111|0001101 0x0B8D
BX = 001 Event : 74
0x00 0001111|0000111 0x0787
0x01 0010000|0000001 0x0801
0x02 0010110|0000001 0x0B01
0x03 0011000|0000001 0x0C01
0x04 0100001|0000111 0x1087
BX = 010 Event : 75
0x00 0001011|0000001 0x0581
0x01 0001100|0000001 0x0601
0x02 0101000|0000001 0x1401
0x03 0101001|0000001 0x1481
BX = 011 Event : 76
0x00 0001001|0101011 0x04AB
0x01 0001001|0101100 0x04AC
0x02 0001010|0101011 0x052B
0x03 0001010|0101100 0x052C
0x04 0001011|0101011 0x05AB
0x05 0001011|0101100 0x05AC
0x06 0001100|0101011 0x062B
0x07 0001100|0101100 0x062C
0x08 0001101|0101011 0x06AB
0x09 0001101|0101100 0x06AC
BX = 100 Event : 77
BX = 101 Event : 78
0x00 0011000|0001001 0x0C09
0x01 0011000|0001100 0x0C0C
0x02 0011001|0101101 0x0CAD
0x03 0011001|0110000 0x0CB0
0x04 0011010|0110000 0x0D30
0x05 0100000|0001001 0x1009
0x06 0101000|0001101 0x140D
0x07 0101000|0001110 0x140E
0x08 0101000|0001111 0x140F
0x09 0101010|0001101 0x150D
0x0a 0101010|0001110 0x150E
0x0b 0101010|0001111 0x150F
0x0c 0101011|0010011 0x1593
0x0d 0101100|0001101 0x160D
0x0e 0101100|0001111 0x160F
0x0f 0110110|0010011 0x1B13
0x10 0110111|0000111 0x1B87
0x11 0110111|0001000 0x1B88
0x12 0110111|0001010 0x1B8A
0x13 0111000|0000100 0x1C04
0x14 0111000|0000111 0x1C07
0x15 0111000|0001000 0x1C08
0x16 0111000|0001010 0x1C0A
0x17 0111001|0010011 0x1C93
0x18 1000111|0000011 0x2383
0x19 1000111|0000100 0x2384
0x1a 1000111|0000111 0x2387
0x1b 1000111|0001000 0x2388
0x1c 1000111|0001010 0x238A
0x1d 1001000|0001101 0x240D
0x1e 1001000|0001110 0x240E
0x1f 1001000|0010011 0x2413
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0000101|0000111 0x0287
0x01 0001000|0010010 0x0412
0x02 0001010|0011000 0x0518
0x03 0001111|0101100 0x07AC
0x04 0010000|0101100 0x082C
BX = 000 Event : 81
0x00 0110101|0010000 0x1A90
0x01 0110101|0010001 0x1A91
0x02 0111010|0010000 0x1D10
0x03 0111010|0010001 0x1D11
0x04 0111011|0010000 0x1D90
0x05 0111011|0010001 0x1D91
0x06 0111110|0010000 0x1F10
0x07 0111110|0010001 0x1F11
0x08 1000100|0010000 0x2210
0x09 1000100|0010001 0x2211
0x0a 1000110|0010000 0x2310
0x0b 1000110|0010001 0x2311
0x0c 1000111|0010000 0x2390
0x0d 1000111|0010001 0x2391
0x0e 1010010|0100010 0x2922
0x0f 1010101|0100010 0x2AA2
BX = 001 Event : 82
0x00 0010011|1000010 0x09C2
0x01 0010011|1000011 0x09C3
BX = 010 Event : 83
0x00 0000111|0000110 0x0386
0x01 0110101|0001010 0x1A8A
0x02 0110101|0001101 0x1A8D
0x03 0110101|0001111 0x1A8F
0x04 0110101|0010010 0x1A92
0x05 0110101|0010011 0x1A93
0x06 0111010|0111000 0x1D38
BX = 011 Event : 84
0x00 0000110|0000010 0x0302
0x01 0000111|0000010 0x0382
0x02 0100100|0000010 0x1202
BX = 100 Event : 85
BX = 101 Event : 86
