BX = 000 Event : 1
0x04 0011000|0100011 0x0C23
0x05 0011011|0011110 0x0D9E
0x06 0100101|0011110 0x129E
0x07 0100110|0100100 0x1324
0x08 0101001|0111101 0x14BD
0x09 0101001|1000001 0x14C1
0x0a 0110100|0100100 0x1A24
0x0b 0110110|0100100 0x1B24
0x0c 0111000|0100100 0x1C24
0x0d 0111001|0011110 0x1C9E
0x0e 1000000|0100100 0x2024
0x0f 1000001|0100100 0x20A4
0x10 1000010|0100100 0x2124
0x11 1010001|0100100 0x28A4
0x12 1010010|0100100 0x2924
0x13 1010100|0011110 0x2A1E
0x14 1010100|0100010 0x2A22
0x15 1010100|0100011 0x2A23
BX = 111 Event : 72
0x00 0100110|0110111 0x1337
0x01 0101101|0110111 0x16B7
BX = 000 Event : 73
0x00 0011010|0100110 0x0D26
0x01 0011111|0100110 0x0FA6
BX = 001 Event : 74
0x00 0010111|0000101 0x0B85
0x01 0100100|0000000 0x1200
0x02 0100100|0110000 0x1230
0x03 0100101|0000000 0x1280
0x04 0100101|0110000 0x12B0
0x05 0100110|0100100 0x1324
0x06 0100110|0100111 0x1327
0x07 0101001|0000000 0x1480
0x08 0101001|0110000 0x14B0
BX = 010 Event : 75
0x00 0010001|0000011 0x0883
0x01 0010001|0000100 0x0884
0x02 0010100|0001100 0x0A0C
0x03 0010101|0001100 0x0A8C
0x04 0011011|0000110 0x0D86
0x05 0011011|0000111 0x0D87
0x06 0011100|0000010 0x0E02
0x07 0011100|0000110 0x0E06
0x08 0100110|0000010 0x1302
0x09 0100110|0000110 0x1306
0x0a 0100110|0000111 0x1307
0x0b 0101010|0000011 0x1503
0x0c 0101010|0000100 0x1504
0x0d 0101010|0001010 0x150A
BX = 011 Event : 76
0x00 0011110|0101101 0x0F2D
BX = 100 Event : 77
BX = 101 Event : 78
0x00 0011101|0010110 0x0E96
0x01 0011110|0010110 0x0F16
0x02 0101110|0010010 0x1712
0x03 0101111|0010010 0x1792
0x04 0110000|0010010 0x1812
0x05 1000001|0011001 0x2099
0x06 1000100|0011001 0x2219
0x07 1001001|0010010 0x2492
0x08 1001011|0010010 0x2592
0x09 1001011|0010110 0x2596
BX = 110 Event : 79
0x00 0001000|0000010 0x0402
0x01 0001001|0000010 0x0482
0x02 0010000|0100101 0x0825
0x03 0010101|0100101 0x0AA5
BX = 111 Event : 80
0x00 0001101|0000100 0x0684
0x01 0001101|0000101 0x0685
0x02 0100010|0000100 0x1104
0x03 0100010|0000101 0x1105
BX = 000 Event : 81
0x00 0111101|0001111 0x1E8F
0x01 1000000|0111011 0x203B
0x02 1001001|0001111 0x248F
0x03 1001100|0011111 0x261F
0x04 1001101|0011111 0x269F
0x05 1010100|0011111 0x2A1F
0x06 1011000|0011100 0x2C1C
0x07 1011000|0011111 0x2C1F
0x08 1011001|0011100 0x2C9C
0x09 1011010|0011100 0x2D1C
0x0a 1011110|0001111 0x2F0F
BX = 001 Event : 82
0x00 0011011|0001011 0x0D8B
0x01 0101001|0010011 0x1493
0x02 0101001|0011000 0x1498
0x03 0101011|0010001 0x1591
0x04 0101011|0010011 0x1593
0x05 0101011|0011000 0x1598
0x06 0101100|0010001 0x1611
0x07 0101100|0010011 0x1613
0x08 0101100|0011000 0x1618
0x09 0101101|0010001 0x1691
0x0a 0101101|0010011 0x1693
0x0b 0101101|0011000 0x1698
0x0c 0110000|0010001 0x1811
0x0d 0110000|0010011 0x1813
0x0e 0110000|0011000 0x1818
0x0f 0110000|0100000 0x1820
BX = 010 Event : 83
0x00 0100000|0011010 0x101A
0x01 0100001|0011010 0x109A
0x02 0100010|0011010 0x111A
0x03 0111101|0110100 0x1EB4
0x04 1000100|0010100 0x2214
0x05 1000100|0011010 0x221A
BX = 011 Event : 84
0x00 0010011|1000001 0x09C1
BX = 100 Event : 85
0x00 0101101|0000101 0x1685
BX = 101 Event : 86
0x00 0001010|0000110 0x0506
0x01 0001011|0000110 0x0586
0x02 0010101|0000110 0x0A86
BX = 110 Event : 87
0x00 0100001|0101001 0x10A9
0x01 0100001|0101011 0x10AB
0x02 0100001|0101100 0x10AC
0x03 0100010|0101001 0x1129
0x04 0100010|0101011 0x112B
0x05 0100010|0101100 0x112C
0x06 0100110|0101001 0x1329
0x07 0100110|0101011 0x132B
0x08 0100110|0101100 0x132C
0x09 0100111|0101001 0x13A9
0x0a 0100111|0101011 0x13AB
0x0b 0100111|0101100 0x13AC
BX = 111 Event : 88
0x00 0101010|0000000 0x1500
0x01 0101011|0000000 0x1580
0x02 0101100|0001110 0x160E
0x03 0110100|0000001 0x1A01
0x04 0110100|0000010 0x1A02
0x05 0110101|0001000 0x1A88
BX = 000 Event : 89
0x00 0101100|0000010 0x1602
0x01 0101101|0000100 0x1684
0x02 0110000|0000100 0x1804
0x03 0110001|0000100 0x1884
0x04 0110010|0000100 0x1904
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
0x00 0100101|0001000 0x1288
0x01 0100101|0001001 0x1289
0x02 0100101|0001010 0x128A
0x03 0100110|0001000 0x1308
0x04 0100110|0001001 0x1309
0x05 0100110|0001010 0x130A
0x06 0101001|0000110 0x1486
0x07 0101001|0001000 0x1488
0x08 0101001|0001001 0x1489
0x09 0101001|0001010 0x148A
0x0a 0101001|0001111 0x148F
BX = 100 Event : 93
0x00 0011011|0011010 0x0D9A
0x01 0110011|0010000 0x1990
0x02 0110011|0010001 0x1991
0x03 0110011|0010010 0x1992
BX = 101 Event : 94
0x00 0010110|0010110 0x0B16
0x01 0010111|0010100 0x0B94
0x02 0010111|0010110 0x0B96
0x03 0100001|0001100 0x108C
0x04 0100001|0010011 0x1093
0x05 0100101|0011011 0x129B
0x06 0100110|0011011 0x131B
0x07 0110000|0011001 0x1819
0x08 0110001|0011001 0x1899
